Fiscal Years (FY)*,STI Test Type ,Number of STI Tests provided,Percentage of STI Tests Provided
2003,Chlamydia,958622,35%
2003,Genital Herpes ,4965,0.18%
2003,Gonorrhea ,977345,35%
2003,HIV ,404956,14.65%
2003,Human Papillomavirus (HPV),25453,0.92%
2003,Other ,6236,0.23%
2003,Syphilis ,387412,14%
2004,Chlamydia,978408,35%
2004,Genital Herpes ,7519,0.27%
2004,Gonorrhea ,969806,35%
2004,HIV ,396054,14%
2004,Human Papillomavirus (HPV),25202,0.91%
2004,Other ,4173,0.15%
2004,Syphilis ,379346,14%
2005,Chlamydia,974546,36%
2005,Genital Herpes ,5681,0.21%
2005,Gonorrhea ,954109,35%
2005,HIV ,399472,15%
2005,Human Papillomavirus (HPV),30749,1%
2005,Other ,3205,0.12%
2005,Syphilis ,372777,14%
2006,Chlamydia,997146,35%
2006,Genital Herpes ,1748,0.24%
2006,Gonorrhea ,974068,35%
2006,HIV ,417221,15%
2006,Human Papillomavirus (HPV),31542,1%
2006,Other ,606,0.02%
2006,Syphilis ,389505,14%
2007,Chlamydia,1063700,35%
2007,Genital Herpes ,6157,0.20%
2007,Gonorrhea ,1043638,34%
2007,HIV ,457962,15%
2007,Human Papillomavirus (HPV),35210,1%
2007,Other ,225,0.01%
2007,Syphilis ,423576,14%
2008,Chlamydia,1199937,35%
2008,Genital Herpes ,801,0.22%
2008,Gonorrhea ,1170436,34%
2008,HIV ,550940,16%
2008,Human Papillomavirus (HPV),31829,0.92%
2008,Other ,264,0.01%
2008,Syphilis ,494187,14%
2009,Chlamydia,1258856,35%
2009,Genital Herpes ,729,0.27%
2009,Gonorrhea ,1214856,33%
2009,HIV ,607954,17%
2009,Human Papillomavirus (HPV),32510,0.90%
2009,Other ,244,0.01%
2009,Syphilis ,502722,14%
2010,Chlamydia,1312109,34%
2010,Genital Herpes ,609,0.25%
2010,Gonorrhea ,1296217,34%
2010,HIV ,674940,17%
2010,Human Papillomavirus (HPV),36731,0.95%
2010,Other ,169,0.00%
2010,Syphilis ,529790,14%
2011,Chlamydia,1325048,34%
2011,Genital Herpes ,534,0.26%
2011,Gonorrhea ,1310023,33%
2011,HIV ,692944,18%
2011,Human Papillomavirus (HPV),34028,0.87%
2011,Other ,145,0.00%
2011,Syphilis ,542976,14%
2012,Chlamydia,1323274,34%
2012,Genital Herpes ,12345,0.32%
2012,Gonorrhea ,1309030,34%
2012,HIV ,699112,18%
2012,Human Papillomavirus (HPV),31107,0.80%
2012,Other ,220,0.01%
2012,Syphilis ,522620,13%
2013,Chlamydia,1138735,34%
2013,Genital Herpes ,10345,0.31%
2013,Gonorrhea ,1100481,33%
2013,HIV ,629565,19%
2013,Human Papillomavirus (HPV),24048,0.71%
2013,Other ,216,0.01%
2013,Syphilis ,472208,14%
2014,Chlamydia,854505,39%
2014,Genital Herpes ,8193,0.38%
2014,Gonorrhea ,376190,17%
2014,HIV ,520616,24%
2014,Human Papillomavirus (HPV),18192,0.84%
2014,Other ,117,0.01%
2014,Syphilis ,393904,18%
2015,Chlamydia,1055781,33%
2015,Genital Herpes ,9419,0%
2015,Gonorrhea ,1041630,33%
2015,HIV ,598055,19%
2015,Human Papillomavirus (HPV),4523,0%
2015,Other ,93,0%
2015,Syphilis ,491738,15%
