Timestamp,"If you're given a piece of paper with a link and qr code by a student organization who wants to do a market survey, would you open the link?","If I tell you that there are two 5 Euro gift cards and two bottles of Ketchup for the lucky winner if you fill up this survey, how likely will you fill up the survey?","If I give a candy when I give the survey, how likely will you fill up my survey now?",Would you leave your email so you can have a chance to be contacted if you win the price?
12/12/2019 1:15:07,3,3,,"No, because I want to remain anonymous until the day i die"
12/12/2019 1:15:53,5,5,,"Yes, in case that they will not spam me"
12/12/2019 1:43:58,4,5,5,"Yes, in case that they will not spam me"
12/12/2019 1:44:35,1,1,4,"No, because I don't want to get spammed"
12/12/2019 1:46:20,3,4,5,"Yes, in case that they will not spam me"
12/12/2019 1:55:09,4,3,5,"Yes, in case that they will not spam me"
12/12/2019 4:06:54,1,3,3,"No, because I don't want to get spammed"
12/12/2019 5:37:14,4,4,4,"Yes, in case that they will not spam me"
12/12/2019 7:59:29,3,3,5,"No, because I want to remain anonymous until the day i die"
12/12/2019 8:27:35,3,5,4,"Yes, in case that they will not spam me"
12/12/2019 9:07:32,4,5,4,Yes
12/12/2019 9:28:52,4,5,4,"Yes, in case that they will not spam me"
